债券名称
棕榈生态城镇发展股份有限公司2018年度第一期中期票据
紫金矿业集团股份有限公司2018年度第一期中期票据
紫金矿业集团股份有限公司2018年度第二期中期票据
紫金矿业集团股份有限公司2018年第一期超短期融资券
淄博市临淄区公有资产经营有限公司2017年度第一期中期票据
诸暨市国有资产经营有限公司2017年度第一期中期票据
株洲市国有资产投资控股集团有限公司2018年度第三期中期票据
株洲市国有资产投资控股集团有限公司2018年第一期超短期融资券
株洲时代新材料科技股份有限公司2017年度第一期超短期融资券
株洲高科集团有限公司2017年度第二期中期票据
珠海水务环境控股集团有限公司2018年度第一期中期票据
珠海欧比特宇航科技股份有限公司2018年第一期超短期融资券
珠海金融投资控股集团有限公司2018年度第一期超短期融资券
珠海华发实业股份有限公司2018年度第二期中期票据
珠海华发集团有限公司2018年度第一期超短期融资券
珠海格力集团有限公司2018年度第一期中期票据
珠海港股份有限公司2018年度第一期超短期融资券
重庆渝涪高速公路有限公司2018年度第一期短期融资券
重庆西永微电子产业园区开发有限公司2018年度第一期中期票据
重庆市潼南区城市建设投资(集团)有限公司2017年度第一期中期票据
重庆市水利投资(集团)有限公司2017年度第一期中期票据
重庆市双福建设开发有限公司2017年度第一期短期融资券
重庆市金潼工业建设投资有限公司2017年度第一期中期票据
重庆市江津区滨江新城开发建设有限公司2017年度第一期中期票据
重庆市合川城市建设投资(集团)有限公司2017年度第一期中期票据
重庆市国有文化资产经营管理有限责任公司2018年第一期中期票据
重庆龙湖企业拓展有限公司关于发行飞驰重庆龙湖企业拓展有限公司2018年度第一期资产支持票据
重庆临空开发投资集团有限公司2017年度第一期中期票据
重庆力帆控股有限公司2017年度第一期超短期融资券
重庆康达环保产业(集团)有限公司2018年第一期中期票据
重庆开乾投资(集团)有限公司2018年度第一期中期票据
重庆金安小额贷款有限公司2017年度第一期资产支持票据
重庆建工集团股份有限公司2017年度第一期中期票据
重庆机场集团有限公司2018年度第一期短期融资券
重庆机场集团有限公司2018年度第一期超短期融资券
重庆高新区开发投资集团有限公司2017年度第一期中期票据
重庆高速公路集团有限公司2017年度第一期中期票据
重庆港务物流集团有限公司2018年度第一期中期票据
重庆对外经贸(集团)有限公司2017年度第二期超短期融资券
中远海运租赁有限公司2018年度第一期资产支持票据
中远海运租赁有限公司2017年度第一期资产支持票据
中远海运控股股份有限公司2018年度第一期中期票据
中远海运控股股份有限公司2018年度第一期超短期融资券
中原资产管理有限公司关于发行中原资产管理有限公司2018年度第一期资产支持票据
中原环保股份有限公司2018年第一期中期票据
中垠融资租赁有限公司2018年度第一期资产支持票据
中垠融资租赁有限公司2017年度第一期短期融资券
中信资本股权投资(天津)股份有限公司2017年度第一期中期票据
中文天地出版传媒股份有限公司2018年度第一期中期票据
中文天地出版传媒股份有限公司2018年度第一期超短期融资券
中铁十六局集团有限公司2017年度第一期永续票据
中铁建商用保理有限公司2018年度第一期银信供应链资产支持票据
中铁二局集团有限公司2018年度第一期资产支持票据
中天建设集团有限公司2018年度第二期中期票据
中天建设集团有限公司2018年度第一期中期票据
中天建设集团有限公司2018年度第一期短期融资券
中煤矿山建设集团有限责任公司2018年度第三期超短期融资券
中粮集团有限公司关于2018-2020年度债务融资工具
中粮地产(集团)股份有限公司2017年度第一期中期票据
中联重科股份有限公司2018年度第一期中期票据
中联重科股份有限公司2018年度第一期超短期融资券
中交一公局集团有限公司2018-2020年度资产支持票据
中交天津航道局有限公司2018年度第一期中期票据
中交疏浚（集团)股份有限公司2018年度第一期超短期融资券
中交建融租赁有限公司2018年第一期中期票据
中交房地产集团有限公司2018年度第一期中期票据
中交房地产集团有限公司2018年度第三期中期票据
中交房地产集团有限公司2018年度第二期中期票据
中交第一航务工程局有限公司2018年度第一期资产支持票据
中交第四航务工程局有限公司2018年度第一期中期票据
中交第三航务工程局有限公司2018年度第一期永续票据
中交第三航务工程局有限公司2017年度第一期超短期融资券
中交第三航务工程局有限公司2017年度第二期短期融资券
中交第二航务工程局有限公司2018年度第二期中期票据
中交第二公路工程局有限公司2018年度第一期中期票据
中建投租赁股份有限公司2017年度第一期短期融资券
中建三局集团有限公司2018年度第一期资产支持票据
中建三局集团有限公司2018年度第一期中期票据
中建交通建设集团有限公司2018年度第二期中期票据
中航国际租赁有限公司2018年度第一期资产支持票据
中国重型汽车集团有限公司2017年度第四期超短期融资券
中国中铁股份有限公司2018-2020年度债务融资工具
中国中纺集团有限公司2018年度第一期超短期融资券
中国中车股份有限公司2018年度第一期资产支持票据
中国纸业投资有限公司关于发行第一期中期票据
中国纸业投资有限公司关于发行第二期中期票据
中国有色矿业集团有限公司2018-2020年度债务融资工具
中国邮电器材集团有限公司2018年度第一期超短期融资券
中国一拖集团有限公司2018年度第一期中期票据
中国铁建股份有限公司2018年度第一期超短期融资券
中国铁建股份有限公司2018年第一期中期票据
中国铁建房地产集团有限公司2018年度第一期超短期融资券
中国水务投资有限公司2018年度第一期中期票据
中国轻工集团有限公司2018年度第一期短期融资券
中国平煤神马能源化工集团有限责任公司2018年第一期中期票据
中国平煤神马能源化工集团有限责任公司2018年第一期短期融资券
中国南玻集团股份有限公司2016年度第三期中期票据
中国民生投资股份有限公司2017年度第一期超短期融资券
中国林业集团有限公司2018年第三期超短期融资券
中国林业集团公司2017年度第一期永续票据
中国康富国际租赁股份有限公司2017年度第一期资产支持票据
中国金茂(集团)有限公司2017年度第一期超短期融资券
中国建筑第五工程局有限公司2018年第一期中期票据
中国建筑第四工程局有限公司2018年度第一期中期票据
中国建筑第七工程局有限公司2018年度第一期资产支持票据
中国建筑第七工程局有限公司2018年度第一期中期票据
中国建筑第二工程局有限公司2018年第二期中期票据
中国建筑第二工程局有限公司2017年度第一期中期票据
中国建筑第八工程局有限公司2018年度第一期永续票据
中国建材国际工程集团有限公司2018年第一期短期融资券
中国环球租赁有限公司2018年度第一期超短期融资券
中国化学工程股份有限公司2018年度第一期中期票据
中国华能集团公司2017年度第一期资产支持票据
中国恒天集团有限公司2018年度第一期中期票据 
中国昊华化工集团股份有限公司2017年度第一期中期票据
中国复合材料集团有限公司2018年度第一期超短期融资券
中国电信股份有限公司2018-2020年度债务融资工具
中国电力国际发展有限公司2018年度第一期中期票据
中国大唐集团新能源股份有限公司2018年度第五期超短期融资券
中广核国际融资租赁有限公司2018年度第一期超短期融资券
中电投融和融资租赁有限公司2018年度第一期资产支持票据
中材科技股份有限公司2017年度第一期超短期融资券
中兵投资管理有限责任公司2018年第一期中期票据
中百控股集团股份有限公司2018年度第一期永续票据
郑州中瑞实业集团有限公司2018年度第一期超短期融资券
郑州公用事业投资发展集团有限公司2017年度第一期超短期融资券
正邦集团有限公司2018年度第一期超短期融资券
正邦集团有限公司2018年度第二期超短期融资券
镇江新区城市建设投资有限公司2017年度第一期中期票据
振石控股集团有限公司2018年度第一期超短期融资券
浙商银行关于代理注册发行浙商链融2018-2020年度企业应收账款资产支持票据
浙农控股集团有限公司2018年度第一期超短期融资券
浙江众合科技股份有限公司2017年度第一期中期票据
浙江中成控股集团有限公司2018年度第一期中期票据
浙江中成控股集团有限公司2018年度第一期中期票据
浙江万马股份有限公司2018年度第一期超短期融资券
浙江省农村发展集团有限公司2018年度第一期超短期融资券
浙江省旅游集团有限责任公司2018年第一期中期票据
浙江省国有资本运营有限公司2017年度第一期中期票据
浙江省国有资本运营有限公司2017年度第一期超短期融资券
浙江省国际贸易集团有限公司2018年度第一期超短期融资券
浙江省国际贸易集团有限公司2017年度第三期中期票据
浙江普陀山发展集团有限公司2017年度第一期中期票据
浙江南都电源动力股份有限公司2018年度第一期中期票据
浙江景兴纸业股份有限公司2017年度第一期超短期融资券
浙江吉利控股集团有限公司2018年度第一期永续票据
浙江吉利控股集团有限公司2018年度第二期永续票据
浙江华友钴业股份有限公司2018年度第一期超短期融资券
浙江华媒控股股份有限公司2018年度第一期超短期融资券
浙江华策影视股份有限公司2018年第一期中期票据
浙江海正药业股份有限公司2018年第一期超短期融资券
浙江国兴投资有限公司2017年度第一期中期票据
浙江富浙资产管理有限公司2018年度第一期资产支持票据
